Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
2024-01-31-23:21:23,0.82,0.42,0.64,0.97,0.07,0.55,0.04,0.48,0.11,0.22,0.28,2.99151227261383
2024-01-31-23:21:26,0.99,0.43,0.46,0.68,0.4,0.22,0.11,0.1,0.05,0.01,0.61,1.00690373295616
2024-01-31-23:21:27,0.3,0.78,0.05,0.2,0.36,0.44,0.26,0.22,0.65,0.08,0.16,0.0689246774030486
2024-01-31-23:21:28,0.82,0.58,0.24,0.37,0.62,0.24,0,0.36,0.52,0.99,0.79,1.57964909766763
2024-01-31-23:21:29,0.5,0.68,0.71,0.73,0.31,0.81,0.3,0.33,0.94,0.6,0.63,0.452818574650563
2024-01-31-23:21:30,0.99,0.81,0.99,0.96,0.59,0.73,0.13,0.68,0.9,0.95,0.26,-0.4271208410015
2024-01-31-23:21:31,0.66,0.84,0.4,0.9,0.84,0.76,0.42,0.36,0.07,0.45,0.56,3.12637287602074
2024-01-31-23:21:32,0.79,0.18,0.87,0.12,0.48,0.72,0.59,0.09,0.36,0.1,0.42,1.90761361740996
2024-01-31-23:21:33,0.87,0.06,0.01,0.13,0.72,0.21,0.55,0.19,0.99,0.21,0.04,-0.261702014066824
2024-01-31-23:21:34,0.39,0.11,0.4,0.67,0.05,0.28,0.27,0.5,0.84,0.58,0.2,0.270831513445702
2024-01-31-23:21:36,0.24,0.22,0.69,0.96,0.81,0.3,0.84,0.92,0.72,0.72,0.5,0.40379271770751
2024-01-31-23:21:38,0.25,0.85,0.22,0.99,0.4,0.42,0.98,0.13,0.98,0.9,0.24,-0.132532043259886
2024-01-31-23:21:42,0.9,0.09,0.81,0.19,0.36,0.32,0.55,0.94,0.04,0.79,0.69,1.27901250939462
2024-01-31-23:21:44,0.73,0.76,0.5,0.55,0.6,0.42,0.79,0.84,0.93,0.05,0.21,1.27357180369726
2024-01-31-23:21:51,0.67,0.04,0.13,0.61,0.54,0.26,0.59,0.44,0.02,0.02,0.06,2.98933894156536
2024-01-31-23:21:52,0.84,0.21,0.42,0.68,0.28,0.89,0.72,0.08,0.58,0.98,0.36,1.38477422455661
2024-01-31-23:21:53,0.08,0.53,0.48,0.03,0.33,0.33,0.48,0.9,0.54,0.67,0.46,-0.0183813893566043
2024-01-31-23:21:54,0.68,0.29,0,0.46,0.88,0.97,0.49,0.9,0.03,0.33,0.63,2.90866492260503
2024-01-31-23:21:55,0.97,0.53,0.92,0.86,0.25,0.52,0.96,0.75,0.88,0.57,0.29,-0.59901421832441
2024-01-31-23:21:56,0.36,0.6,0.14,0.21,0.6,0.04,0.28,0.27,0.5,0.48,0.56,0.467609834582263
2024-01-31-23:21:57,0.02,0.94,0.97,0.99,0.43,0.39,0.02,0.28,0.03,0,0.81,1.93845071314447
2024-01-31-23:21:58,0.47,0.38,0.59,0.51,0.35,0.34,0.39,0.92,0.15,0.27,0.04,1.70339288835445
2024-01-31-23:21:59,0.29,0.49,0.64,0.85,0.29,0.43,0.35,0.77,0,0.38,0.71,1.93654665053597
2024-01-31-23:22:00,0.49,0.89,0.67,0.88,0.92,0.95,0.43,0.44,0.29,0.9,0.82,1.81659775222562
2024-01-31-23:22:01,0.4,0.41,0.69,0.26,0.32,0.61,0.42,0.6,0.17,0.23,0.61,1.24530783916751
2024-01-31-23:22:02,0.81,0.09,0.9,0.25,0.96,0.67,0.77,0.34,0.9,0.26,0.24,0.749023447029416
2024-01-31-23:22:03,0.57,0.14,0.68,0.05,0.58,0.12,0.86,0,0.46,0.26,0.94,1.10024861873563
2024-01-31-23:22:04,0.16,0.52,0.78,0.29,0.46,0.9,0.47,0.7,0.51,0.8,0.31,0.294847579837164
